"ROI","Mean","Channel","Frame","Time","Sensor_Name","ROI_Name"
4,5.545,1,31,90,"GFP","Airpore Medium 1"
5,8.835,1,31,90,"GFP","Airpore Medium 2"
6,8.129,1,31,90,"GFP","background"
1,64.644,2,31,90,"RFP","Airpore Old 1"
2,60.358,2,31,90,"RFP","Airpore Old 2"
3,46.378,2,31,90,"RFP","Airpore Old 3"
4,35.844,2,31,90,"RFP","Airpore Medium 1"
5,62.285,2,31,90,"RFP","Airpore Medium 2"
6,52.92,2,31,90,"RFP","background"
1,6.493,1,32,93,"GFP","Airpore Old 1"
2,7.328,1,32,93,"GFP","Airpore Old 2"
3,9.078,1,32,93,"GFP","Airpore Old 3"
4,5.468,1,32,93,"GFP","Airpore Medium 1"
5,8.523,1,32,93,"GFP","Airpore Medium 2"
6,8.116,1,32,93,"GFP","background"
1,64.848,2,32,93,"RFP","Airpore Old 1"
2,59.33,2,32,93,"RFP","Airpore Old 2"
3,45.879,2,32,93,"RFP","Airpore Old 3"
4,35.952,2,32,93,"RFP","Airpore Medium 1"
5,62.156,2,32,93,"RFP","Airpore Medium 2"
6,52.523,2,32,93,"RFP","background"
1,6.692,1,33,96,"GFP","Airpore Old 1"
2,7.36,1,33,96,"GFP","Airpore Old 2"
3,9.104,1,33,96,"GFP","Airpore Old 3"
4,5.386,1,33,96,"GFP","Airpore Medium 1"
5,8.784,1,33,96,"GFP","Airpore Medium 2"
6,8.11,1,33,96,"GFP","background"
1,65.099,2,33,96,"RFP","Airpore Old 1"
2,59.997,2,33,96,"RFP","Airpore Old 2"
3,47.086,2,33,96,"RFP","Airpore Old 3"
4,35.439,2,33,96,"RFP","Airpore Medium 1"
5,62.592,2,33,96,"RFP","Airpore Medium 2"
6,53.308,2,33,96,"RFP","background"
1,6.54,1,34,99,"GFP","Airpore Old 1"
2,7.188,1,34,99,"GFP","Airpore Old 2"
3,8.95,1,34,99,"GFP","Airpore Old 3"
4,5.421,1,34,99,"GFP","Airpore Medium 1"
5,8.637,1,34,99,"GFP","Airpore Medium 2"
6,8.035,1,34,99,"GFP","background"
1,65.064,2,34,99,"RFP","Airpore Old 1"
2,60.76,2,34,99,"RFP","Airpore Old 2"
3,46.435,2,34,99,"RFP","Airpore Old 3"
4,35.925,2,34,99,"RFP","Airpore Medium 1"
5,62.954,2,34,99,"RFP","Airpore Medium 2"
6,52.949,2,34,99,"RFP","background"
1,6.311,1,35,102,"GFP","Airpore Old 1"
2,7.05,1,35,102,"GFP","Airpore Old 2"
3,9.001,1,35,102,"GFP","Airpore Old 3"
4,5.475,1,35,102,"GFP","Airpore Medium 1"
5,8.247,1,35,102,"GFP","Airpore Medium 2"
6,8.011,1,35,102,"GFP","background"
1,65.544,2,35,102,"RFP","Airpore Old 1"
2,59.742,2,35,102,"RFP","Airpore Old 2"
3,47.03,2,35,102,"RFP","Airpore Old 3"
4,35.878,2,35,102,"RFP","Airpore Medium 1"
5,62.578,2,35,102,"RFP","Airpore Medium 2"
6,53.009,2,35,102,"RFP","background"
1,6.437,1,36,105,"GFP","Airpore Old 1"
2,7.329,1,36,105,"GFP","Airpore Old 2"
3,9.103,1,36,105,"GFP","Airpore Old 3"
4,5.51,1,36,105,"GFP","Airpore Medium 1"
5,8.446,1,36,105,"GFP","Airpore Medium 2"
6,7.894,1,36,105,"GFP","background"
1,65.735,2,36,105,"RFP","Airpore Old 1"
2,60.446,2,36,105,"RFP","Airpore Old 2"
3,46.86,2,36,105,"RFP","Airpore Old 3"
4,35.872,2,36,105,"RFP","Airpore Medium 1"
5,62.735,2,36,105,"RFP","Airpore Medium 2"
6,52.95,2,36,105,"RFP","background"
1,6.333,1,37,108,"GFP","Airpore Old 1"
